Subject,hasEconomicIndicator,isLotOf,cup,contractingAuthority
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1769/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_1769/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/314/991,https://w3id.org/italia/env/ld/ihi/economicindicator/314/991_18,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_5885/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@22_5885/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2763/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_2763/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/to164a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/to164a/101_10,,,
https://w3id.org/italia/env/ld/ihi/lot/lt004a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/lt004a/101_13,,,
https://w3id.org/italia/env/ld/ihi/lot/pc001a/1019,https://w3id.org/italia/env/ld/ihi/economicindicator/pc001a/1019_19,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3885/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_3885/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/01ira40/g18,https://w3id.org/italia/env/ld/ihi/economicindicator/01ira40/g18_5,,,
https://w3id.org/italia/env/ld/ihi/lot/pc001a/1021,https://w3id.org/italia/env/ld/ihi/economicindicator/pc001a/1021_18,,,
https://w3id.org/italia/env/ld/ihi/lot/br089a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/br089a/101_3,,,
https://w3id.org/italia/env/ld/ihi/lot/10ir101/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/10ir101/g11_16,,,
https://w3id.org/italia/env/ld/ihi/lot/255/991,https://w3id.org/italia/env/ld/ihi/economicindicator/255/991_16,,,
https://w3id.org/italia/env/ld/ihi/lot/03ir231/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/03ir231/g11_5,,,
https://w3id.org/italia/env/ld/ihi/lot/cn108a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cn108a/101_26,,,
https://w3id.org/italia/env/ld/ihi/lot/005/081,https://w3id.org/italia/env/ld/ihi/economicindicator/005/081_8,,,
https://w3id.org/italia/env/ld/ihi/lot/bs028b/101,https://w3id.org/italia/env/ld/ihi/economicindicator/bs028b/101_22,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2543/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_2543/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@20_6148/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@20_6148/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/cs167b/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cs167b/101_4,,,
https://w3id.org/italia/env/ld/ihi/lot/08ir006/ci1,https://w3id.org/italia/env/ld/ihi/economicindicator/08ir006/ci1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/cn121a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cn121a/101_8,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@20_5428/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@20_5428/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/cz158b/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cz158b/101_11,,,
https://w3id.org/italia/env/ld/ihi/lot/maaf@20_0161/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/maaf@20_0161/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1337/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_1337/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/at069a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/at069a/101_5,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0005/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_0005/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/vv006a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/vv006a/101_21,,,
https://w3id.org/italia/env/ld/ihi/lot/207/061,https://w3id.org/italia/env/ld/ihi/economicindicator/207/061_14,,,
https://w3id.org/italia/env/ld/ihi/lot/090/071,https://w3id.org/italia/env/ld/ihi/economicindicator/090/071_5,,,
https://w3id.org/italia/env/ld/ihi/lot/09ir002/g41,https://w3id.org/italia/env/ld/ihi/economicindicator/09ir002/g41_19,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0335/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@19_0335/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5570/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_5570/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/159/071,https://w3id.org/italia/env/ld/ihi/economicindicator/159/071_1,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0545/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_0545/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/479/021,https://w3id.org/italia/env/ld/ihi/economicindicator/479/021_1,,,
https://w3id.org/italia/env/ld/ihi/lot/mo002b/1010,https://w3id.org/italia/env/ld/ihi/economicindicator/mo002b/1010_25,,,
https://w3id.org/italia/env/ld/ihi/lot/345/061,https://w3id.org/italia/env/ld/ihi/economicindicator/345/061_4,,,
https://w3id.org/italia/env/ld/ihi/lot/kr171b/101,https://w3id.org/italia/env/ld/ihi/economicindicator/kr171b/101_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1524/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_1524/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/416/021,https://w3id.org/italia/env/ld/ihi/economicindicator/416/021_21,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4504/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_4504/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1457/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_1457/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/pv108a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/pv108a/101_8,,,
https://w3id.org/italia/env/ld/ihi/lot/007/021,https://w3id.org/italia/env/ld/ihi/economicindicator/007/021_1,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0707/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_0707/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/11ir287/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/11ir287/g11_17,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2438/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_2438/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/mb175c/101,https://w3id.org/italia/env/ld/ihi/economicindicator/mb175c/101_14,,,
https://w3id.org/italia/env/ld/ihi/lot/11ir306/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/11ir306/g11_5,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2129/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_2129/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1096/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_1096/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/fc063b/101,https://w3id.org/italia/env/ld/ihi/economicindicator/fc063b/101_13,,,
https://w3id.org/italia/env/ld/ihi/lot/cs110b/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cs110b/101_9,,,
https://w3id.org/italia/env/ld/ihi/lot/20ir072/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/20ir072/g11_12,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0193/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@19_0193/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4501/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_4501/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/247/079,https://w3id.org/italia/env/ld/ihi/economicindicator/247/079_3,,,
https://w3id.org/italia/env/ld/ihi/lot/cn098a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cn098a/101_9,,I11B10000190002,
https://w3id.org/italia/env/ld/ihi/lot/co050a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/co050a/101_3,,,
https://w3id.org/italia/env/ld/ihi/lot/017/021,https://w3id.org/italia/env/ld/ihi/economicindicator/017/021_3,,,
https://w3id.org/italia/env/ld/ihi/lot/508/991,https://w3id.org/italia/env/ld/ihi/economicindicator/508/991_25,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0965/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@22_0965/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/368/0912,https://w3id.org/italia/env/ld/ihi/economicindicator/368/0912_1,,,
https://w3id.org/italia/env/ld/ihi/lot/503/068,https://w3id.org/italia/env/ld/ihi/economicindicator/503/068_3,,,
https://w3id.org/italia/env/ld/ihi/lot/03ir067/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/03ir067/g11_25,,,
https://w3id.org/italia/env/ld/ihi/lot/bo052a/107,https://w3id.org/italia/env/ld/ihi/economicindicator/bo052a/107_6,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1264/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_1264/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/03ir454/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/03ir454/g11_19,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0401/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_0401/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/373/061,https://w3id.org/italia/env/ld/ihi/economicindicator/373/061_8,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0760/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@22_0760/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/pa205a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/pa205a/101_10,,,
https://w3id.org/italia/env/ld/ihi/lot/098/071,https://w3id.org/italia/env/ld/ihi/economicindicator/098/071_12,,,
https://w3id.org/italia/env/ld/ihi/lot/17ir449/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/17ir449/g11_4,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_7025/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_7025/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/al022a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/al022a/101_10,,,
https://w3id.org/italia/env/ld/ihi/lot/03ir052/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/03ir052/g11_4,g1,,
https://w3id.org/italia/env/ld/ihi/lot/fe050c/101,https://w3id.org/italia/env/ld/ihi/economicindicator/fe050c/101_12,,,
https://w3id.org/italia/env/ld/ihi/lot/014/082,https://w3id.org/italia/env/ld/ihi/economicindicator/014/082_17,,,
https://w3id.org/italia/env/ld/ihi/lot/355/061,https://w3id.org/italia/env/ld/ihi/economicindicator/355/061_18,,,
https://w3id.org/italia/env/ld/ihi/lot/cs119b/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cs119b/101_7,,,
https://w3id.org/italia/env/ld/ihi/lot/427/021,https://w3id.org/italia/env/ld/ihi/economicindicator/427/021_5,,,
https://w3id.org/italia/env/ld/ihi/lot/mn098a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/mn098a/101_22,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0120/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_0120/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/cs008a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cs008a/101_19,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0206/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_0206/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/103/981,https://w3id.org/italia/env/ld/ihi/economicindicator/103/981_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0600/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@19_0600/xm1_1,,,
https://w3id.org/italia/env/ld/ihi/lot/11ir304/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/11ir304/g11_8,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1587/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_1587/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/284/071,https://w3id.org/italia/env/ld/ihi/economicindicator/284/071_7,,,
https://w3id.org/italia/env/ld/ihi/lot/ca006c/105,https://w3id.org/italia/env/ld/ihi/economicindicator/ca006c/105_6,,,
https://w3id.org/italia/env/ld/ihi/lot/so125a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/so125a/101_19,,,
https://w3id.org/italia/env/ld/ihi/lot/099/071,https://w3id.org/italia/env/ld/ihi/economicindicator/099/071_9,,,
